PLANT_CODE,BATCH_NO,SIMULATED_HEAT_NO,HR_GRADE,QUALITY_LEVEL,VENDOR_GRADE,BATCH_THICK,BATCH_WIDTH,BATCH_WEIGHT,SENT_DATE,SUPPLIER_TC_NO,CHEM_TREATMENT,SURFACE,REMARK,CARBON_PCT,CARBON_EQ,MANGANESE_PCT,PHOSPHORUS_PCT,SULPHUR_PCT,SILICON_PCT,ALUMINIUM_PCT,NITROGEN_PCT,NITROGEN_PPM,BORON_PCT,COPPER_PCT,CHROMIUM_PCT,NICKEL_PCT,TIN_PCT,YMPA,TMPA,EL_PCT,HARDNESS,UTS,YS,INNER_DIA,OUTER_DIA,READ_FLAG
2000,24J0161R00,27319522,CR1,PRIME,,2,1235,17.695,26-10-24,,NA,NA,,0.04,0.045,0.16,0.015,0.006,0.01,0.03,0,30,0.03,0.004,0.01,0.01,0.01,475,325,0.001,80,500,350,756,0,1
2000,24J0300R00,88982221,CR1,PRIME,,2,1235,17.66,26-10-24,,NA,NA,,0.04,0.045,0.16,0.015,0.006,0.01,0.03,0,30,0.03,0.004,0.01,0.01,0.01,475,325,0.001,80,500,350,756,0,1
2000,24J0301R00,56244181,CR1,PRIME,,2,1235,17.595,26-10-24,,NA,NA,,0.04,0.05,0.15,0.015,0.008,0.01,0.04,0,30,0.03,0.006,0.01,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,24J0316R00,10977891,CR1,PRIME,,2,1235,17.605,26-10-24,,NA,NA,,0.04,0.077,0.14,0.018,0.01,0.02,0.04,0,52,0.03,0.004,0.014,0.007,0.01,475,325,0.001,80,500,350,756,0,1
2000,24J0319R00,18172642,CR1,PRIME,,2,1235,17.545,26-10-24,,NA,NA,,0.04,0.077,0.14,0.018,0.01,0.02,0.04,0,52,0.03,0.004,0.014,0.007,0.01,475,325,0.001,80,500,350,756,0,1
2000,24J0327R00,62372719,CR1,PRIME,,2,1235,17.59,26-10-24,,NA,NA,,0.04,0.077,0.14,0.018,0.01,0.02,0.04,0,52,0.03,0.004,0.014,0.007,0.01,475,325,0.001,80,500,350,756,0,1
2000,25B0547R00,95700736,CR3,PRIME,,2.5,1235,15.86,28-02-25,,NA,NA,,0.039,0.062,0.26,0.008,0.012,0.02,0.06,0,42,0.03,0.004,0.011,0.007,0.01,475,325,0.001,80,500,350,756,0,1
2000,25B0548R00,62853051,CR3,PRIME,,2.5,1235,15.855,28-02-25,,NA,NA,,0.033,0.062,0.27,0.013,0.008,0.008,0.056,0,37,0.03,0.004,0.012,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25B0549R00,56149091,CR3,PRIME,,2.5,1235,15.885,28-02-25,,NA,NA,,0.039,0.062,0.26,0.008,0.012,0.02,0.06,0,42,0.03,0.004,0.011,0.007,0.01,475,325,0.001,80,500,350,756,0,1
2000,25B0554R00,65335186,CR3,PRIME,,2.5,1235,15.885,28-02-25,,NA,NA,,0.032,0.06,0.27,0.013,0.008,0.008,0.056,0,37,0.03,0.005,0.01,0.009,0.01,475,325,0.001,80,500,350,756,0,1
